step,mloss,gloss,loss
28000.0,0.4148,0.4347,0.8494999999999999
28100.0,0.4161,0.4362,0.8523000000000001
28200.0,0.4164,0.4357,0.8521
28300.0,0.4133,0.4345,0.8478
28400.0,0.4154,0.4352,0.8506
28500.0,0.4144,0.4355,0.8499
28600.0,0.4159,0.4352,0.8511
28700.0,0.4156,0.4353,0.8509
28800.0,0.4181,0.4359,0.8540000000000001
28900.0,0.4154,0.4344,0.8498
29000.0,0.4151,0.4347,0.8498
29100.0,0.4083,0.4345,0.8428
29200.0,0.41,0.4351,0.8451
29300.0,0.4129,0.4342,0.8471
29400.0,0.4137,0.4345,0.8482000000000001
29500.0,0.412,0.4338,0.8458
29600.0,0.418,0.4347,0.8527
29700.0,0.4106,0.4349,0.8455
29800.0,0.4129,0.4342,0.8471
29900.0,0.412,0.4344,0.8464
30000.0,0.4115,0.4345,0.846
